Sample_ID	n_CNV
201094560076_R03C02	80
201094560026_R03C01	67
201094560086_R03C01	62
201094560060_R02C01	43
201094560026_R05C02	37
201094560058_R09C02	34
201094560068_R03C02	34
201977910057_R12C02	34
201094560059_R09C01	31
202031420083_R04C01	30
202031420083_R01C01	29
201094560086_R01C01	28
202031420084_R04C01	28
202031420083_R05C01	27
201977910057_R12C01	26
201094560068_R05C02	25
202036010011_R10C02	25
201094560026_R01C02	23
201094560026_R05C01	23
202031420064_R10C01	23
202036010011_R02C02	23
201094560026_R01C01	22
201094560026_R03C02	22
201094560086_R03C02	22
202031420083_R01C02	22
201094560067_R07C02	21
202036010011_R06C02	21
201977910060_R12C02	20
202031420064_R07C02	20
202031420083_R02C02	20
201094560060_R02C02	19
202031420084_R05C02	19
202031420015_R10C02	18
201094560008_R02C02	17
201977910032_R05C02	17
202031420084_R05C01	17
201977910086_R12C01	16
202031420075_R08C01	16
202031420083_R12C01	16
202031420015_R07C02	15
202031420064_R02C02	15
201094560059_R11C02	14
201094560060_R12C02	14
202031420015_R05C01	14
202031420064_R12C02	14
202031420075_R06C02	14
202031420084_R08C01	14
201094560008_R07C02	13
201094560059_R02C01	13
201094560076_R03C01	13
201094560082_R11C01	13
201094560084_R05C02	13
201094560084_R07C02	13
202031420032_R02C01	13
202031420064_R02C01	13
202031420084_R11C01	13
201094560008_R06C01	12
201094560060_R08C01	12
201094560060_R12C01	12
201094560082_R09C01	12
201094560082_R11C02	12
201977910067_R11C02	12
201977910077_R05C01	12
202031420015_R01C02	12
201094560059_R09C02	11
201094560078_R08C01	11
201977910067_R08C02	11
201977910077_R12C01	11
202031420045_R10C01	11
202031420064_R05C02	11
202031420084_R08C02	11
202031420084_R11C02	11
202036010011_R08C01	11
201094560058_R05C01	10
201094560067_R02C01	10
201094560078_R06C01	10
201094560084_R02C02	10
201094560084_R06C01	10
201977910056_R12C01	10
201977910057_R10C02	10
201977910067_R03C02	10
201977910067_R08C01	10
201977910077_R03C01	10
201977910080_R03C02	10
201977910080_R05C02	10
201977910080_R07C01	10
201977910086_R12C02	10
202031420014_R12C01	10
202031420015_R12C01	10
202031420045_R12C01	10
202031420084_R06C02	10
202031420084_R09C01	10
201094560008_R01C01	9
201094560008_R08C02	9
201094560058_R11C02	9
201094560059_R04C01	9
201094560059_R08C01	9
201094560067_R08C02	9
201094560068_R03C01	9
201094560068_R07C01	9
201094560082_R06C01	9
201094560084_R04C02	9
201094560084_R07C01	9
201977910067_R02C01	9
201977910067_R07C01	9
201977910067_R07C02	9
201977910080_R02C02	9
202031420015_R04C02	9
202031420045_R04C01	9
202031420064_R08C02	9
202031420064_R11C01	9
202031420083_R05C02	9
202036010011_R04C01	9
202036010011_R10C01	9
201094560059_R08C02	8
201094560059_R12C01	8
201094560060_R06C01	8
201094560067_R09C02	8
201094560076_R01C02	8
201094560078_R09C01	8
201094560078_R10C01	8
201094560082_R08C02	8
201094560084_R11C02	8
201977910067_R01C02	8
201977910067_R02C02	8
201977910067_R04C01	8
201977910080_R06C01	8
201977910080_R09C02	8
202031420014_R02C01	8
202031420015_R01C01	8
202031420015_R07C01	8
202031420015_R08C02	8
202031420083_R04C02	8
202031420084_R01C01	8
202036010011_R12C02	8
201094560008_R03C01	7
201094560008_R08C01	7
201094560026_R07C01	7
201094560058_R02C02	7
201094560058_R03C02	7
201094560058_R12C02	7
201094560059_R07C02	7
201094560060_R04C01	7
201094560060_R08C02	7
201094560067_R02C02	7
201094560067_R09C01	7
201094560067_R12C01	7
201094560067_R12C02	7
201094560068_R01C01	7
201094560078_R07C02	7
201094560078_R08C02	7
201094560078_R09C02	7
201094560078_R11C01	7
201094560082_R07C01	7
201094560082_R07C02	7
201094560082_R08C01	7
201094560082_R12C01	7
201094560084_R04C01	7
201094560084_R10C02	7
201977910032_R07C01	7
201977910040_R08C01	7
201977910067_R05C02	7
201977910080_R08C02	7
201977910086_R10C01	7
202031420014_R02C02	7
202031420014_R06C01	7
202031420015_R11C01	7
202031420045_R02C01	7
202031420045_R06C02	7
202031420064_R04C01	7
202031420083_R02C01	7
202031420083_R10C02	7
202031420084_R07C01	7
202031420084_R12C01	7
201094560008_R05C02	6
201094560008_R11C01	6
201094560026_R07C02	6
201094560058_R07C01	6
201094560058_R07C02	6
201094560058_R09C01	6
201094560058_R12C01	6
201094560059_R06C01	6
201094560067_R04C02	6
201094560076_R07C01	6
201094560078_R11C02	6
201094560078_R12C02	6
201094560082_R04C01	6
201094560082_R06C02	6
201094560082_R09C02	6
201094560082_R10C01	6
201094560082_R12C02	6
201094560084_R01C02	6
201094560084_R05C01	6
201094560084_R06C02	6
201094560084_R08C01	6
201094560084_R09C01	6
201094560084_R09C02	6
201094560086_R01C02	6
201977910001_R12C02	6
201977910032_R03C01	6
201977910067_R05C01	6
201977910067_R06C01	6
201977910067_R06C02	6
201977910067_R10C01	6
201977910067_R11C01	6
201977910077_R05C02	6
201977910080_R02C01	6
201977910080_R06C02	6
202031420015_R04C01	6
202031420015_R09C02	6
202031420015_R12C02	6
202031420045_R06C01	6
202031420045_R08C01	6
202031420045_R08C02	6
202031420064_R09C01	6
202031420064_R09C02	6
202031420083_R06C02	6
202031420083_R08C01	6
202031420083_R09C02	6
202031420083_R11C02	6
202031420084_R01C02	6
202031420084_R07C02	6
202036010011_R06C01	6
202036010011_R08C02	6
202036010011_R12C01	6
201094560008_R01C02	5
201094560008_R02C01	5
201094560008_R12C01	5
201094560058_R02C01	5
201094560058_R08C02	5
201094560058_R11C01	5
201094560059_R02C02	5
201094560059_R07C01	5
201094560059_R10C02	5
201094560060_R04C02	5
201094560060_R07C01	5
201094560060_R10C01	5
201094560067_R04C01	5
201094560076_R05C02	5
201094560078_R02C01	5
201094560078_R04C01	5
201094560078_R06C02	5
201094560082_R03C02	5
201094560082_R05C01	5
201094560082_R05C02	5
201094560082_R10C02	5
201094560084_R08C02	5
201094560084_R10C01	5
201977910016_R03C01	5
201977910056_R12C02	5
201977910080_R01C01	5
201977910080_R03C01	5
201977910080_R04C01	5
201977910080_R04C02	5
201977910080_R05C01	5
201977910080_R07C02	5
201977910080_R11C02	5
202031420014_R08C02	5
202031420015_R06C01	5
202031420015_R08C01	5
202031420015_R09C01	5
202031420064_R10C02	5
202031420083_R07C01	5
202031420083_R10C01	5
202031420083_R11C01	5
202031420084_R03C01	5
202031420084_R06C01	5
202031420084_R09C02	5
202031420084_R10C01	5
201094560008_R04C01	4
201094560008_R04C02	4
201094560008_R09C02	4
201094560058_R04C01	4
201094560058_R05C02	4
201094560058_R08C01	4
201094560059_R06C02	4
201094560059_R10C01	4
201094560059_R12C02	4
201094560060_R06C02	4
201094560060_R07C02	4
201094560060_R09C01	4
201094560060_R10C02	4
201094560060_R11C01	4
201094560067_R10C02	4
201094560078_R02C02	4
